pathway_id	pathway_name	category
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	Degradation
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation	Degradation
1CMET2-PWY	folate transformations III (E. coli)	Biosynthesis
2AMINOBENZDEG-PWY	anthranilate degradation III (anaerobic)	Degradation
2ASDEG-PWY	orthanilate degradation	Degradation
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II	Degradation
2PHENDEG-PWY	phenylethylamine degradation I	Degradation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	Degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation	Degradation
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	Degradation
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	Super-Pathways
4TOLCARBDEG-PWY	4-toluenecarboxylate degradation	Degradation
6-HYDROXYCINEOLE-DEGRADATION-PWY	1,8-cineole degradation	Degradation
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	Degradation
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	Super-Pathways
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	Degradation
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine	Biosynthesis
AEROBACTINSYN-PWY	aerobactin biosynthesis	Biosynthesis
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	Degradation
ALADEG-PWY	L-alanine degradation I	Degradation
ALANINE-DEG3-PWY	L-alanine degradation III	Degradation
ALANINE-SYN2-PWY	L-alanine biosynthesis II	Biosynthesis
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	Biosynthesis
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	Degradation
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	Super-Pathways
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	Degradation
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	Super-Pathways
AMMASSIM-PWY	ammonia assimilation cycle III	Degradation
AMMOXID-PWY	ammonia oxidation I (aerobic)	Degradation
AMMOXID-PWY	ammonia oxidation I (aerobic)	Energy-Metabolism
ANAEROFRUCAT-PWY	homolactic fermentation	Super-Pathways
ANAEROFRUCAT-PWY	homolactic fermentation	Energy-Metabolism
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	Energy-Metabolism
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	Degradation
ARABCAT-PWY	L-arabinose degradation I	Degradation
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	Super-Pathways
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	Biosynthesis
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)	Degradation
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	Degradation
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	Degradation
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	Biosynthesis
